#{"t_start": 1640864053.790724, "env_id": "Hopper-v3"}
r,l,t
9.388677,13,7.982467
11.718877,15,7.988716
11.820993,17,7.995501
18.998682,19,8.002948
6.122458,15,8.008906
11.015722,14,8.014639
29.50663,24,8.024104
13.76454,15,8.03007
13.926548,18,8.037384
16.113597,22,8.046438
11.648107,14,8.051827
9.838389,13,8.056838
12.242914,24,8.066419
66.258308,65,8.092991
12.078623,14,8.098526
23.963108,23,8.107617
23.057313,26,8.118238
25.081731,23,8.127585
6.299442,15,8.133855
15.485746,23,8.143001
6.192662,9,8.146532
7.591481,33,8.159976
26.162455,22,8.168693
13.686779,26,8.179123
21.197993,21,8.187506
16.313324,35,8.201781
11.348964,17,8.208644
13.964346,19,8.216248
12.050472,18,8.223351
7.489936,12,8.228386
12.248049,23,8.23764
31.183857,39,8.253181
12.591854,24,8.262774
8.203723,16,8.269345
11.040035,14,8.274789
12.990914,18,8.281947
8.062447,12,8.286712
8.94382,14,8.292381
8.951717,13,8.297544
20.80644,21,8.305987
13.6263,18,8.313186
5.557109,14,8.319092
17.048552,25,8.329223
11.946508,15,8.335262
19.149012,27,8.346248
12.455455,27,8.357299
17.338658,19,8.364824
8.239918,14,8.370398
12.504049,14,8.375911
14.938352,26,8.386642
12.634579,15,8.39261
14.073698,33,8.405886
11.428237,14,8.411287
8.957591,17,8.418255
23.65988,26,8.428807
12.265499,14,8.434393
37.996394,42,8.451363
24.439423,31,8.464143
31.619497,29,8.475645
11.670721,14,8.481066
11.820618,14,8.486762
15.771501,23,8.49648
10.064009,12,8.501254
16.857707,18,8.508373
8.800642,15,8.51446
11.971925,14,8.520123
8.137328,15,8.526171
7.915331,12,8.530868
20.822161,25,8.540935
23.843702,26,8.551579
14.722937,16,8.557822
16.232735,36,8.572373
13.978574,34,8.586185
7.952329,12,8.591213
25.850079,45,8.609132
13.702859,17,8.616021
22.693792,19,8.623645
10.99262,14,8.629534
46.083732,37,8.644397
14.600868,21,8.652947
23.129147,34,8.666696
13.153433,16,8.67331
17.359709,19,8.680942
7.814241,10,8.684903
11.891029,14,8.69042
34.746408,32,8.703255
10.797336,12,8.708091
75.325097,55,8.730016
8.408481,13,8.735188
10.887913,13,8.74044
9.615848,18,8.747615
10.742639,14,8.753138
12.063698,20,8.761417
14.306034,16,8.768101
11.350639,14,8.773586
9.073502,13,8.778775
6.88853,23,8.78787
9.358937,12,8.792909
34.42225,28,8.803905
7.183334,22,8.812737
37.10437,39,8.828557
9.330103,13,8.833951
22.290158,23,8.843239
20.956695,20,8.851203
10.455231,14,8.856904
7.928079,16,8.86375
22.067015,25,8.873835
11.924783,17,8.880581
22.84307,22,8.88943
14.829086,19,8.897291
37.617794,34,8.910919
13.875161,25,8.921057
26.37771,22,8.929765
8.986299,18,8.937114
7.762977,11,8.941482
23.512839,22,8.950344
14.578451,18,8.957632
13.459784,15,8.963785
15.897399,19,8.971443
9.453498,20,8.979497
9.689251,17,8.986219
10.487889,17,8.993233
90.350911,51,9.013006
61.784643,47,9.031808
15.353843,16,9.038186
12.336465,22,9.047234
16.12601,21,9.059061
22.681876,21,9.067647
32.018314,29,9.079277
9.180922,12,9.084345
14.120409,22,9.09322
11.98102,17,9.100085
9.159472,16,9.106458
9.211152,27,9.117493
30.194289,30,9.129548
9.848624,20,9.137619
14.090891,16,9.144007
12.866822,18,9.151358
12.398624,25,9.161438
23.645958,34,9.175048
9.014417,14,9.1806
9.832944,18,9.188045
8.306455,12,9.192897
15.247475,16,9.199286
12.398495,14,9.204897
8.243666,10,9.209078
5.897759,15,9.215159
14.354658,16,9.221492
23.167216,38,9.236721
6.904647,16,9.243456
8.553355,11,9.247794
9.67593,16,9.254088
10.949847,29,9.265681
12.582694,14,9.271326
6.847266,10,9.275305
35.064016,38,9.290622
7.893782,11,9.294918
14.34661,20,9.303458
35.736411,28,9.314279
17.458638,24,9.323965
14.303363,15,9.329854
8.350874,13,9.335292
6.731814,11,9.339653
15.132575,21,9.348058
21.825949,34,9.361624
15.82924,21,9.370277
