#{"t_start": 1642060555.440224, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
255.0,2702,20.167654
135.0,1642,25.990062
105.0,1548,36.162238
30.0,1104,40.657185
225.0,2116,48.216268
65.0,1348,60.920986
55.0,1298,65.736876
45.0,1212,70.030802
55.0,1048,74.856914
85.0,2488,92.122998
415.0,2714,101.770776
170.0,2582,119.879894
315.0,3324,133.854827
210.0,2582,152.678625
165.0,2420,162.027699
210.0,2452,179.944478
180.0,2548,189.324392
180.0,2572,208.155931
105.0,1972,214.922662
185.0,2480,232.017203
210.0,2472,241.169798
240.0,3348,262.385722
135.0,2392,271.350427
460.0,5714,307.559974
180.0,2658,316.922335
260.0,3036,336.818895
210.0,2586,347.416648
210.0,2454,364.166472
110.0,1956,370.66076
355.0,3260,390.301523
210.0,2436,400.140171
110.0,1976,414.694876
135.0,2378,423.538653
315.0,2890,441.23768
410.0,2492,450.221795
210.0,2706,467.351763
410.0,2616,477.143128
330.0,3320,497.452727
105.0,2056,504.304671
155.0,2376,520.135787
180.0,2404,529.632996
180.0,2428,545.986332
250.0,2828,557.421246
210.0,2546,573.976284
270.0,2944,584.56304
270.0,2876,602.753425
180.0,2638,612.74108
180.0,2570,631.015955
80.0,1218,635.42488
210.0,2584,652.575985
420.0,4300,668.357082
210.0,2602,686.506083
330.0,4340,711.138009
515.0,3964,732.680583
345.0,4202,747.929852
210.0,2620,764.261805
210.0,2448,772.672282
790.0,4466,796.089269
210.0,2468,812.287555
365.0,4410,835.813342
120.0,1948,844.921924
120.0,1218,849.177919
210.0,2370,866.288753
315.0,3362,878.331334
180.0,2550,895.743201
275.0,3106,907.56909
180.0,2450,925.486432
205.0,1920,932.045561
315.0,3060,947.482251
555.0,3236,964.064209
425.0,2060,971.722244
135.0,2374,980.652663
155.0,1470,994.600865
190.0,2434,1004.024822
405.0,2794,1022.82676
125.0,1476,1028.229407
260.0,2462,1037.323528
365.0,2980,1055.441299
120.0,1366,1060.515875
290.0,2234,1074.665554
295.0,2906,1084.762081
555.0,3888,1107.745454
85.0,1140,1111.801579
260.0,2064,1127.799211
540.0,3254,1139.418805
235.0,2852,1156.211301
455.0,3326,1177.06002
180.0,1840,1184.133657
75.0,1126,1188.00965
80.0,1144,1191.901215
270.0,2733,1208.934085
155.0,1852,1215.753044
360.0,2888,1234.422874
495.0,2840,1245.197627
485.0,2748,1264.887075
260.0,2607,1274.252053
125.0,1522,1288.076945
185.0,1750,1294.07471
315.0,3332,1316.598342
340.0,2826,1326.334232
75.0,1626,1341.960091
305.0,2588,1352.376772
370.0,3738,1374.310762
170.0,1836,1381.043992
320.0,2810,1397.932363
400.0,3128,1409.329709
365.0,2370,1426.756613
365.0,3024,1437.269963
325.0,3370,1456.570763
410.0,3982,1475.81143
255.0,2716,1484.904599
165.0,2010,1499.645538
525.0,4464,1524.225336
430.0,3364,1536.392876
270.0,3040,1555.289019
265.0,3096,1569.864709
95.0,1490,1575.180483
560.0,2572,1584.1115
395.0,2722,1601.830063
200.0,2256,1610.50096
100.0,1666,1628.208382
360.0,2698,1638.102178
310.0,2502,1652.979372
450.0,4114,1674.989789
390.0,2912,1686.459384
455.0,3160,1705.098477
300.0,2540,1714.493699
205.0,1848,1729.847351
350.0,2508,1739.180347
400.0,3104,1759.227993
265.0,2584,1768.736729
250.0,2618,1789.240932
575.0,4105,1810.840974
375.0,2850,1821.400642
430.0,2416,1841.350355
600.0,4888,1867.254354
540.0,3780,1882.263551
140.0,1822,1894.459011
425.0,3276,1908.465776
525.0,3958,1927.527369
530.0,2628,1944.197617
385.0,3198,1955.923579
325.0,3732,1980.625073
625.0,3441,1996.162276
105.0,1508,2001.504838
50.0,1054,2005.204753
150.0,1544,2011.411109
375.0,1978,2024.781098
70.0,1226,2028.875093
455.0,4376,2055.149478
395.0,3030,2074.738395
300.0,2320,2083.227057
380.0,3268,2103.271264
145.0,1420,2108.540928
355.0,3454,2128.208658
110.0,1622,2134.742388
260.0,2202,2143.039581
195.0,1990,2159.56929
90.0,1324,2164.46656
165.0,1610,2170.091764
190.0,2050,2187.996295
650.0,3356,2199.986619
540.0,2640,2218.567987
375.0,2750,2229.191647
655.0,2928,2246.641386
575.0,4238,2271.962585
215.0,2592,2280.97134
745.0,4320,2307.285082
255.0,2160,2324.445557
165.0,2078,2332.913131
275.0,2552,2342.195759
265.0,2152,2361.750381
235.0,1932,2368.872798
200.0,1996,2381.943527
545.0,3590,2396.902535
320.0,2160,2412.413282
515.0,4574,2438.504935
115.0,1504,2443.922821
335.0,3182,2463.772431
445.0,3392,2476.226385
190.0,2108,2494.539198
535.0,3677,2507.847983
365.0,2910,2526.983579
390.0,2770,2544.63131
235.0,2188,2552.351981
575.0,3122,2569.977724
340.0,3746,2585.455633
335.0,3105,2605.212468
240.0,2218,2613.373421
445.0,3916,2634.827576
470.0,3570,2656.295325
465.0,2590,2665.884485
550.0,2348,2680.940101
285.0,2424,2689.737928
440.0,2870,2709.120389
480.0,3804,2731.595906
835.0,4508,2758.534526
155.0,1546,2763.697815
395.0,2922,2774.014267
505.0,3842,2796.18263
375.0,2396,2812.471092
575.0,4366,2827.982131
520.0,2568,2846.075944
375.0,2728,2862.638485
425.0,2690,2872.443527
575.0,3768,2892.598603
555.0,4122,2914.222075
275.0,2502,2922.822893
370.0,2970,2940.394166
510.0,3346,2951.447886
310.0,2602,2966.69675
370.0,2654,2976.402197
235.0,1992,2992.681271
495.0,3102,3003.279113
550.0,3138,3022.012698
400.0,3324,3042.976382
380.0,2734,3052.832309
545.0,3644,3074.406126
470.0,3326,3092.144817
545.0,4298,3108.193475
230.0,1964,3123.830502
240.0,2192,3131.246311
395.0,3350,3150.478856
405.0,3166,3170.253677
175.0,2600,3180.125729
155.0,1842,3187.577222
525.0,3614,3209.346511
445.0,3646,3228.466316
720.0,4054,3252.49937
350.0,2504,3261.4232
450.0,3226,3280.698606
280.0,2838,3290.650808
335.0,2622,3307.837597
255.0,2306,3315.582579
370.0,2608,3332.963232
575.0,4712,3357.800189
395.0,2772,3367.590135
360.0,2798,3385.390368
335.0,2948,3396.550061
725.0,3542,3420.78255
440.0,2958,3439.065569
640.0,3202,3451.193569
330.0,2370,3467.510375
525.0,3787,3490.208307
285.0,2470,3498.790376
465.0,4038,3521.075271
255.0,2216,3528.714368
