#{"t_start": 1642060556.644088, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
125.0,2096,16.369431
50.0,1234,20.989702
175.0,1992,32.826163
515.0,3164,44.918502
85.0,1744,50.978685
60.0,1240,63.323415
30.0,1560,69.049147
110.0,1888,77.120334
90.0,1834,91.575909
240.0,2880,102.26238
75.0,1268,114.97163
210.0,2398,125.820465
105.0,1950,133.489799
210.0,2434,151.263005
210.0,2562,161.012276
260.0,2906,180.709617
410.0,2542,190.085997
110.0,2278,207.554152
210.0,2530,217.015575
110.0,1980,232.121129
155.0,2640,241.716598
460.0,2950,261.340548
210.0,2500,270.552276
210.0,2604,285.456673
410.0,2548,296.519867
360.0,2350,313.210851
410.0,2440,321.44805
135.0,2406,340.625253
485.0,2930,350.640601
210.0,2588,367.67479
335.0,4434,391.527231
255.0,3286,404.688024
180.0,2484,421.071308
260.0,2886,432.190618
260.0,2912,449.470639
210.0,2560,466.232866
80.0,1190,470.493376
180.0,2558,480.093244
260.0,2950,498.66416
215.0,2480,507.718308
460.0,5776,544.222757
410.0,2588,554.38786
520.0,4254,577.157583
210.0,2514,586.684618
260.0,2946,605.18433
260.0,2948,624.696383
210.0,2552,634.192292
75.0,1050,638.063704
180.0,2452,654.754643
240.0,2936,665.298206
210.0,2462,682.992723
210.0,2534,692.698759
260.0,2946,711.716779
110.0,2102,719.282361
210.0,2516,735.439848
290.0,3074,746.528592
285.0,2908,763.576354
265.0,3154,781.90814
210.0,2386,790.825725
210.0,2518,799.387938
460.0,2996,817.5329
120.0,1964,825.746564
210.0,2486,843.607085
405.0,2722,853.328663
210.0,2520,870.871752
110.0,1314,875.362941
525.0,4124,899.106201
225.0,2452,915.353122
185.0,1682,922.847867
215.0,2442,931.908377
210.0,2408,944.515496
80.0,1326,949.515659
170.0,2078,957.137645
125.0,1522,967.680037
120.0,1456,972.454898
190.0,2016,979.849556
320.0,3628,1002.576002
245.0,2740,1021.265527
285.0,2382,1029.67021
95.0,1488,1035.569063
480.0,2474,1051.801129
275.0,2938,1068.293452
195.0,2132,1075.926212
335.0,3076,1095.823308
435.0,3732,1109.014256
445.0,2484,1126.797041
155.0,2172,1134.475844
175.0,1928,1147.934093
280.0,3310,1159.549374
320.0,2808,1179.065029
545.0,3354,1191.186759
265.0,2994,1209.325806
390.0,2164,1217.013576
310.0,3342,1238.012707
320.0,3098,1259.236315
625.0,2858,1269.44507
110.0,1606,1283.41632
265.0,2486,1292.46511
315.0,2384,1310.947852
240.0,3074,1321.951227
390.0,3312,1343.980922
605.0,4774,1370.890587
265.0,2596,1380.17838
340.0,2664,1396.710502
370.0,3078,1407.981697
420.0,3900,1430.648086
105.0,1664,1436.363687
175.0,1962,1451.049864
120.0,1738,1456.951598
270.0,2234,1469.614605
225.0,2152,1477.111174
360.0,3116,1495.648595
280.0,2690,1505.226941
385.0,3064,1524.919095
180.0,1892,1531.635027
860.0,3910,1553.271694
310.0,2466,1561.903483
380.0,3057,1576.657453
455.0,3646,1597.26596
330.0,2424,1606.440008
665.0,3992,1633.220374
115.0,1290,1638.265189
330.0,2678,1653.56503
370.0,2990,1664.76419
340.0,2704,1681.997554
330.0,2836,1691.9657
375.0,2986,1710.175141
125.0,1520,1715.852975
290.0,2844,1735.469702
160.0,1460,1740.274761
485.0,4228,1764.547031
260.0,2394,1784.482395
330.0,2958,1795.206098
315.0,2826,1812.04474
250.0,2044,1819.849188
285.0,2308,1838.87112
255.0,2548,1848.4136
535.0,2964,1867.478659
460.0,3426,1880.932889
585.0,2946,1897.247308
490.0,3130,1910.330452
395.0,3528,1928.275067
110.0,1404,1933.435623
380.0,2970,1951.653569
150.0,1620,1957.594937
95.0,1528,1973.089927
320.0,3280,1985.382108
430.0,4036,2003.583847
35.0,1098,2008.073788
130.0,1914,2020.704292
310.0,2690,2030.852619
220.0,2674,2051.143586
250.0,2304,2059.06506
105.0,1608,2064.714232
125.0,2538,2082.426538
395.0,3018,2101.846296
300.0,2634,2111.35621
175.0,1988,2118.668448
110.0,1400,2131.578073
320.0,2760,2141.930857
370.0,1944,2158.284494
235.0,2114,2165.677526
110.0,1350,2170.681623
140.0,1578,2186.807283
110.0,1422,2192.122049
770.0,4630,2218.056214
130.0,1434,2222.726789
275.0,1990,2237.380223
250.0,2678,2247.152441
425.0,2934,2267.344132
475.0,3374,2279.559257
495.0,3290,2300.780568
480.0,3404,2323.633399
290.0,2346,2333.379577
290.0,2828,2353.629068
395.0,3012,2366.274815
515.0,3486,2387.451761
520.0,3490,2407.421232
415.0,3172,2420.616995
315.0,2552,2437.50936
235.0,1896,2444.443105
110.0,1484,2449.719216
225.0,2158,2465.95419
530.0,3190,2478.101462
120.0,1932,2495.176051
430.0,3336,2507.025435
400.0,3108,2526.722875
400.0,3380,2547.003351
395.0,3680,2560.055138
460.0,3974,2582.724217
365.0,2820,2601.765071
345.0,2754,2611.837605
470.0,3444,2631.711713
570.0,3437,2652.231764
475.0,4350,2675.389088
440.0,2954,2686.134693
630.0,3492,2707.096002
520.0,3470,2728.563383
190.0,1906,2735.458651
330.0,2492,2743.903917
635.0,3136,2766.055395
445.0,3384,2786.710568
385.0,3238,2797.431412
465.0,3570,2818.206701
520.0,3722,2840.412529
275.0,2574,2849.187245
545.0,3870,2870.879689
200.0,2262,2878.204142
300.0,2738,2895.131817
420.0,2936,2912.656597
600.0,4222,2927.100723
435.0,3186,2944.934085
120.0,1580,2950.214391
335.0,2634,2965.570596
410.0,3454,2987.701278
285.0,2952,2998.105802
395.0,3132,3016.658363
545.0,4605,3042.327137
290.0,2356,3050.175758
195.0,2544,3068.244926
520.0,3742,3080.967809
265.0,2114,3094.60779
430.0,4184,3118.997302
370.0,2464,3127.761361
420.0,2722,3144.406988
300.0,2830,3154.372659
290.0,2324,3171.78302
420.0,2858,3182.905922
325.0,2424,3199.871844
355.0,2784,3209.966543
440.0,3816,3229.493029
415.0,3221,3251.031156
290.0,2874,3261.325566
425.0,3138,3280.340213
630.0,4190,3302.919376
195.0,2462,3311.596558
295.0,3200,3330.92749
545.0,3919,3352.149638
440.0,3164,3363.433694
480.0,2880,3381.160688
690.0,4270,3408.777392
570.0,3321,3421.318648
85.0,1156,3425.197839
440.0,3450,3445.525279
310.0,2394,3462.495183
480.0,3666,3475.768186
415.0,3236,3496.139428
450.0,3892,3517.985454
305.0,2694,3527.37386
275.0,2672,3544.726543
135.0,1904,3551.70122
120.0,1566,3557.193634
295.0,2754,3575.702813
450.0,3932,3597.349734
460.0,3580,3617.229432
385.0,2492,3625.933998
370.0,2602,3644.337279
455.0,3828,3658.996586
485.0,3716,3678.158512
425.0,3434,3699.948688
380.0,3022,3710.511963
285.0,2826,3729.141351
145.0,1640,3734.851428
410.0,3156,3753.539828
510.0,3148,3764.770622
570.0,3892,3790.263041
560.0,4014,3814.7543
385.0,2956,3834.818383
520.0,3364,3846.340917
550.0,3735,3866.933006
460.0,3594,3887.617367
255.0,2538,3896.063271
360.0,2696,3913.58906
335.0,2816,3923.492581
545.0,4406,3949.848146
