#{"t_start": 1642060556.0430968, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
270.0,2428,3540.710068
585.0,3714,3554.395591
220.0,2200,3570.375146
495.0,3848,3584.924038
520.0,3932,3605.936873
300.0,2612,3622.673805
375.0,3192,3634.001351
350.0,2618,3652.750518
715.0,3848,3673.312168
575.0,4190,3697.514343
375.0,2520,3706.66794
320.0,2536,3715.501305
105.0,1288,3728.257358
770.0,4490,3751.875065
500.0,3288,3763.488868
60.0,1072,3767.308167
405.0,4202,3794.893008
555.0,3844,3818.263904
695.0,4220,3842.531564
220.0,2548,3851.556387
570.0,3939,3872.074164
500.0,3860,3893.977133
330.0,2644,3903.090115
310.0,2964,3921.591616
400.0,2982,3941.196038
340.0,3018,3953.139704
500.0,3400,3976.642542
425.0,3510,3998.07462
685.0,4168,4014.853763
510.0,3450,4038.259247
415.0,2758,4057.341805
490.0,4368,4084.097662
525.0,3456,4097.101305
200.0,1974,4112.081331
515.0,3628,4125.349687
330.0,2400,4143.913144
390.0,3450,4156.847271
520.0,3562,4180.703899
730.0,4084,4206.575268
265.0,2570,4217.056985
575.0,4012,4241.417424
410.0,3628,4263.84215
515.0,3478,4286.157051
770.0,3430,4298.195585
220.0,2128,4316.0579
330.0,2412,4326.504637
610.0,3053,4346.183162
420.0,3148,4357.735518
380.0,2718,4377.62606
260.0,2278,4386.088438
520.0,2906,4405.693998
290.0,2672,4421.788974
165.0,1982,4428.916008
340.0,3168,4450.811297
340.0,2776,4461.300744
420.0,2622,4477.78838
370.0,2446,4486.008951
465.0,3424,4508.618333
405.0,2932,4519.543906
375.0,2778,4538.818464
425.0,2370,4546.761847
520.0,4284,4568.672365
235.0,2470,4587.531418
600.0,3996,4610.333124
240.0,2662,4619.729308
365.0,2816,4638.803365
395.0,2508,4648.624006
540.0,3552,4668.570419
335.0,2540,4677.509693
515.0,3086,4698.241542
520.0,3486,4717.008396
510.0,3484,4729.068815
400.0,2664,4743.222255
580.0,3834,4765.380985
465.0,3408,4778.803032
525.0,3950,4803.611144
215.0,1928,4810.739096
380.0,2758,4827.868506
640.0,3462,4847.84957
570.0,3696,4860.874497
495.0,2878,4880.566597
445.0,2090,4888.282332
260.0,2788,4907.068192
485.0,3700,4930.107633
455.0,2599,4939.284106
185.0,2174,4954.425788
445.0,3724,4968.274009
510.0,4418,4993.945781
435.0,2844,5014.528767
405.0,3178,5025.922256
465.0,3492,5046.876477
445.0,3326,5070.002758
355.0,2544,5078.852481
465.0,3048,5098.845834
660.0,3782,5120.33922
355.0,3096,5132.589691
190.0,2124,5149.153834
360.0,2446,5157.953891
385.0,2410,5167.332028
130.0,1642,5181.702635
195.0,1874,5188.544096
355.0,2992,5209.46727
290.0,2434,5218.1608
955.0,2904,5238.024367
520.0,3240,5249.273278
545.0,3603,5270.949029
400.0,3106,5291.924944
690.0,3448,5305.329456
670.0,3598,5328.290641
515.0,4378,5353.568866
315.0,2936,5372.213142
180.0,1872,5378.568913
500.0,3366,5402.003702
510.0,3582,5414.775784
730.0,3859,5438.084982
520.0,4152,5465.414037
350.0,2900,5487.722578
395.0,2964,5497.780613
390.0,2796,5515.305908
365.0,2890,5525.511033
370.0,3106,5544.890285
460.0,3744,5568.56847
520.0,4200,5583.534414
725.0,4310,5608.527301
530.0,3929,5632.289749
600.0,3668,5653.468528
540.0,3286,5665.19068
895.0,3518,5688.148026
500.0,4224,5712.32655
430.0,3164,5734.949299
635.0,2768,5744.480721
575.0,3736,5767.547404
175.0,2040,5774.76708
445.0,4254,5799.627118
530.0,3220,5817.566952
155.0,1876,5824.432242
520.0,3606,5848.311526
625.0,3730,5869.931041
575.0,4012,5884.044934
545.0,3307,5904.606536
600.0,3878,5924.841238
370.0,2978,5935.380716
615.0,3856,5956.317629
435.0,3420,5975.25447
695.0,4838,5998.750976
970.0,4065,6021.882429
525.0,3294,6034.143882
605.0,2316,6052.531023
