#{"t_start": 1642060555.1386566, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
50.0,1200,15.204769
100.0,1486,20.31008
215.0,3088,36.183968
425.0,2496,45.356592
120.0,1782,52.08684
125.0,1606,65.915772
135.0,1608,72.883451
195.0,2358,89.217613
260.0,3250,101.390334
380.0,2458,118.518499
210.0,2500,129.657715
210.0,2524,147.552598
485.0,3232,160.564038
180.0,2484,177.978636
180.0,2420,187.631677
135.0,2414,204.192052
180.0,2640,215.096087
105.0,1962,230.237799
35.0,1212,234.421832
185.0,2430,243.487854
155.0,2474,261.817404
155.0,2382,270.187361
180.0,2462,284.775897
210.0,2444,295.557808
210.0,2532,312.140989
285.0,2908,322.686445
210.0,2566,342.329
210.0,2616,351.570628
105.0,1968,366.49862
210.0,2636,375.806113
105.0,1926,389.748805
210.0,2546,400.509471
210.0,2612,417.26096
210.0,2592,426.7276
290.0,4250,449.420429
330.0,3274,469.193302
210.0,2460,478.572043
225.0,2590,495.278308
75.0,1232,499.940665
410.0,2626,509.442502
210.0,2588,526.410122
180.0,2496,535.657011
260.0,2986,554.211192
465.0,2924,572.875467
260.0,2984,584.099534
210.0,2508,600.199804
240.0,2908,611.375214
245.0,2844,630.391313
60.0,1170,635.1877
330.0,3268,654.697187
210.0,2560,664.283297
515.0,4024,687.883206
765.0,4366,711.974834
210.0,2462,721.043468
225.0,2782,738.480224
210.0,2426,747.349827
180.0,2548,762.902262
345.0,4266,785.135046
265.0,3036,796.29657
210.0,2450,811.887014
105.0,1208,816.572159
260.0,2866,827.601485
180.0,2506,845.513893
335.0,3212,865.365471
820.0,4426,882.079077
530.0,3222,902.101028
180.0,2456,918.38584
120.0,1644,925.868483
225.0,2564,935.199218
320.0,2606,948.928872
260.0,2480,957.680819
410.0,2448,971.724962
245.0,2476,980.908468
265.0,2580,999.742287
475.0,3496,1020.99988
455.0,3772,1035.171506
285.0,2420,1050.842847
340.0,3602,1070.039244
205.0,2426,1078.980043
475.0,3382,1100.16442
430.0,3274,1111.758501
150.0,2188,1128.124298
235.0,2372,1136.951379
190.0,1918,1149.792787
255.0,2028,1156.99721
385.0,2418,1166.065895
230.0,2210,1182.935801
140.0,1450,1188.257236
115.0,1734,1200.902981
245.0,2656,1211.034039
570.0,3508,1232.345693
275.0,2722,1242.137223
100.0,1620,1257.878626
170.0,2174,1265.751833
160.0,2188,1274.003933
120.0,1868,1288.759728
200.0,1840,1295.419816
195.0,1872,1312.061444
270.0,3268,1323.559739
260.0,3134,1344.584941
310.0,3186,1357.613151
185.0,2372,1374.413393
615.0,3548,1394.360524
85.0,1426,1399.556898
265.0,2208,1407.419151
335.0,3062,1427.119024
525.0,3855,1447.936973
295.0,2904,1458.359667
210.0,2786,1472.913879
430.0,3216,1483.946832
120.0,1478,1497.021481
365.0,2816,1507.467872
265.0,2408,1524.240464
195.0,2268,1532.612025
295.0,2534,1549.097802
355.0,2930,1559.530795
90.0,1412,1568.217591
175.0,2168,1576.001326
220.0,2168,1583.894341
375.0,3162,1602.803105
405.0,2952,1626.218001
440.0,3492,1639.249864
500.0,3504,1657.228362
500.0,3724,1677.857502
130.0,1588,1684.19557
370.0,2986,1702.300252
