#{"t_start": 1642060556.343269, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
355.0,3311,21.447441
65.0,1274,25.795826
325.0,3330,43.392632
145.0,1314,47.804554
290.0,2828,66.471213
50.0,1578,73.379845
45.0,1560,78.994256
85.0,1890,93.543116
185.0,2472,102.551569
255.0,3048,124.045717
135.0,2404,132.880132
210.0,2570,151.693394
210.0,2546,161.346156
210.0,2474,179.324387
135.0,2404,188.360204
185.0,2496,205.059424
210.0,2508,215.70133
75.0,1116,227.454188
180.0,2486,236.708138
180.0,2472,255.034906
210.0,2564,264.429311
180.0,2390,278.519759
240.0,2868,288.823183
265.0,3006,309.729402
210.0,2468,318.173994
265.0,3182,338.306002
210.0,2502,348.832822
85.0,1224,360.865672
180.0,2552,369.882217
315.0,3256,389.483598
210.0,2616,400.40405
210.0,2534,416.284511
180.0,2470,425.476087
180.0,2424,441.920369
240.0,2924,452.733191
380.0,2458,468.608632
135.0,2344,477.654903
460.0,2944,495.81306
115.0,2306,504.317281
275.0,3008,523.001663
180.0,2490,531.628021
155.0,2416,548.722411
265.0,2992,560.372401
180.0,2570,576.921232
270.0,3028,587.761409
410.0,2616,604.660183
180.0,2518,614.274611
210.0,2532,632.593531
250.0,3342,652.969728
180.0,2656,662.733876
180.0,2502,679.614273
240.0,2922,690.977354
315.0,3874,713.83259
790.0,4300,736.836884
210.0,2508,745.932902
260.0,2924,762.443939
180.0,2580,771.737338
180.0,2414,787.714623
410.0,2468,796.677696
375.0,4870,821.314351
620.0,4546,847.852379
210.0,2502,865.274667
260.0,2886,875.429664
150.0,2052,891.080175
55.0,1200,895.138454
155.0,1764,902.38236
260.0,2932,921.461403
330.0,3352,934.091259
110.0,1206,942.540385
575.0,2926,953.419845
105.0,1712,964.262294
290.0,3288,976.289338
110.0,1362,981.492238
460.0,2986,1001.975537
120.0,2178,1018.119998
260.0,2238,1025.972584
270.0,2898,1044.524899
335.0,2938,1054.857207
360.0,2086,1068.546245
60.0,1482,1073.948679
135.0,1598,1079.609095
240.0,2550,1097.522896
410.0,2950,1108.208416
210.0,2320,1124.98616
260.0,2048,1132.377023
105.0,1576,1137.930218
235.0,2376,1152.510242
155.0,2026,1159.671482
175.0,1482,1165.278441
300.0,3020,1185.309744
255.0,2962,1202.978639
215.0,2612,1212.843571
255.0,3088,1232.577915
250.0,2698,1242.281901
635.0,3986,1266.49722
125.0,2394,1283.605505
255.0,2410,1292.455725
185.0,2352,1310.884303
685.0,3902,1325.010219
310.0,3210,1346.403948
185.0,2198,1355.155129
180.0,2314,1372.417574
205.0,2342,1380.465931
275.0,2290,1395.524468
230.0,2480,1404.654025
375.0,3024,1424.265711
175.0,2106,1431.424976
385.0,3526,1451.704868
265.0,3126,1467.647208
245.0,2728,1477.121733
295.0,2886,1495.149428
185.0,2008,1501.879929
190.0,2072,1509.190934
235.0,2386,1526.621193
180.0,2020,1533.571134
125.0,1862,1547.927717
150.0,1882,1554.770923
240.0,2166,1562.156095
130.0,1890,1572.841611
175.0,2012,1580.189607
465.0,3720,1601.149153
395.0,3064,1624.806614
360.0,4056,1639.354216
105.0,1562,1650.751076
155.0,1930,1657.717978
95.0,1168,1661.602256
280.0,2552,1678.488662
480.0,3596,1691.967947
335.0,3090,1710.450821
85.0,1378,1715.716845
180.0,1950,1731.21995
335.0,3234,1743.784803
490.0,3858,1766.215347
170.0,1680,1772.127045
365.0,3226,1795.182726
450.0,2976,1812.450569
355.0,3738,1826.450593
185.0,1946,1844.564886
315.0,2762,1854.575075
360.0,2812,1873.551741
265.0,2240,1881.922951
305.0,2622,1897.311812
345.0,1976,1906.186791
675.0,4728,1928.45436
340.0,2665,1945.199562
465.0,3746,1958.960972
250.0,2462,1978.597542
350.0,2916,1989.352739
435.0,3236,2004.435153
95.0,1850,2011.925871
775.0,3818,2031.627728
145.0,2026,2049.730689
430.0,3064,2060.692044
200.0,1862,2075.695741
450.0,2434,2084.41186
375.0,2834,2102.782154
300.0,2122,2110.414794
485.0,3870,2133.161334
110.0,1202,2137.256496
585.0,4510,2163.437754
315.0,2328,2171.492497
185.0,1982,2189.244901
165.0,1546,2194.822756
405.0,2962,2214.897651
435.0,3934,2229.0497
300.0,2366,2245.066937
410.0,3322,2266.102005
470.0,3972,2281.181644
570.0,4066,2306.215711
645.0,3648,2329.831055
175.0,1576,2335.619173
300.0,3077,2356.968617
375.0,2716,2368.432144
55.0,1052,2378.488215
85.0,1110,2384.129466
455.0,2744,2394.023385
490.0,3760,2416.612296
365.0,2618,2434.137067
740.0,4624,2450.721163
340.0,2582,2468.612923
490.0,3956,2493.891322
570.0,3866,2515.817575
365.0,3192,2528.158023
110.0,1816,2534.242203
275.0,2156,2549.772409
190.0,1858,2556.46736
340.0,3094,2573.922311
650.0,3050,2587.534123
550.0,3080,2606.401706
285.0,2364,2622.941822
430.0,3312,2634.276909
400.0,3048,2653.936099
100.0,1474,2659.027859
285.0,3044,2677.441592
545.0,3772,2690.58369
120.0,1584,2705.355037
475.0,3020,2717.190872
295.0,2664,2734.575522
290.0,2418,2743.233808
525.0,3266,2765.736332
645.0,3053,2785.170181
435.0,3382,2796.270312
460.0,3288,2816.346649
315.0,2560,2825.407875
255.0,2500,2842.768105
330.0,2664,2852.829884
310.0,2766,2868.813942
600.0,3846,2890.153956
325.0,2750,2900.305178
