#{"t_start": 1642060554.843356, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
50.0,1146,15.286463
205.0,3170,26.455325
245.0,2566,41.011564
65.0,1294,45.367769
150.0,2018,52.686632
340.0,3096,73.291014
110.0,1800,79.425928
105.0,1846,94.518548
120.0,2104,102.03945
195.0,2912,120.993875
355.0,2488,132.154786
180.0,2528,149.905768
210.0,2566,160.534306
380.0,2568,178.150593
155.0,2524,188.130743
180.0,2530,205.558556
210.0,2412,215.307257
210.0,2448,232.324918
250.0,3016,243.488862
380.0,2392,261.041366
410.0,2498,270.256035
185.0,2438,284.847337
250.0,2852,296.708191
265.0,2986,315.545798
210.0,2548,324.59883
260.0,2968,345.834282
180.0,2638,363.073851
210.0,2548,372.112044
210.0,2562,388.049817
210.0,2530,398.750641
410.0,2554,415.510801
210.0,2444,424.484022
445.0,2934,442.361925
135.0,2368,451.034936
110.0,2094,459.262941
105.0,1576,471.759664
315.0,1992,479.313917
410.0,2416,495.539631
335.0,2446,504.446319
260.0,2918,522.263729
350.0,4304,546.285428
210.0,2490,556.139352
210.0,2564,572.843342
265.0,2960,583.350666
210.0,2618,600.325086
155.0,2416,609.723488
525.0,3182,630.241937
110.0,2068,638.073402
80.0,1324,643.201949
380.0,2562,659.531573
260.0,2984,670.725768
135.0,2376,688.363005
110.0,2254,696.648709
210.0,2572,714.152499
410.0,2582,723.534099
365.0,4346,746.521972
210.0,2624,760.673589
260.0,2886,772.878568
590.0,4380,795.558669
110.0,1994,809.997846
110.0,2048,817.39448
140.0,1986,824.64241
110.0,1940,841.348716
955.0,4414,865.69075
300.0,3456,878.572295
210.0,2520,895.867136
210.0,2472,904.943443
180.0,2426,922.741569
260.0,2928,933.662719
355.0,3322,949.826952
100.0,2010,957.362211
165.0,1908,969.459739
145.0,2014,976.207183
370.0,3502,997.606729
490.0,2812,1009.08845
310.0,3138,1028.945225
410.0,3040,1047.175297
170.0,1968,1054.388073
140.0,2102,1061.936558
50.0,1032,1071.858915
400.0,3296,1083.526063
135.0,2030,1099.636751
335.0,2686,1109.653491
315.0,2202,1126.128193
135.0,1978,1132.705182
85.0,1334,1137.749423
165.0,1528,1149.595955
290.0,2808,1159.379003
575.0,4862,1186.613073
185.0,2088,1194.17131
370.0,3458,1213.549953
120.0,1520,1219.028773
160.0,1938,1234.653818
345.0,3174,1246.322364
125.0,2018,1263.622159
140.0,2400,1272.400621
135.0,1486,1285.563467
640.0,3252,1297.660614
220.0,2028,1315.191447
225.0,2832,1325.019819
395.0,3030,1345.798513
280.0,2554,1356.106409
425.0,3782,1378.187074
230.0,2700,1394.872742
80.0,1624,1400.54719
400.0,2670,1410.142187
810.0,4548,1434.933933
150.0,2028,1449.760325
155.0,1850,1456.433026
335.0,2922,1471.37771
340.0,3044,1482.093029
310.0,2750,1499.189657
375.0,2828,1509.80126
230.0,2064,1525.752028
170.0,2700,1535.145909
910.0,4782,1559.955758
75.0,1666,1569.329912
170.0,2056,1576.817641
180.0,1934,1584.016785
145.0,1990,1598.525245
180.0,1550,1604.244553
395.0,3434,1628.950453
170.0,2034,1636.490261
720.0,3266,1654.052725
400.0,2980,1664.757877
150.0,1828,1679.189538
755.0,4784,1704.097332
530.0,4442,1729.68165
645.0,3952,1744.059848
115.0,1878,1759.593001
600.0,4330,1786.377344
510.0,3864,1800.533178
260.0,2792,1817.453946
675.0,4578,1845.556881
230.0,2734,1855.512342
290.0,2612,1873.25579
220.0,2782,1883.753542
450.0,3536,1902.786265
300.0,2810,1919.473987
550.0,3224,1931.441786
470.0,4118,1953.739297
175.0,1930,1960.532922
495.0,2394,1979.964043
155.0,1872,1986.952183
580.0,3942,2004.289072
495.0,3772,2025.186886
470.0,3446,2037.147382
265.0,2144,2055.585762
190.0,1962,2062.679777
495.0,3510,2084.02083
635.0,2962,2103.294461
315.0,2318,2111.396582
220.0,2488,2120.578321
220.0,2382,2137.106757
405.0,2248,2145.906776
385.0,3138,2166.655485
440.0,3608,2190.170836
395.0,2750,2199.988293
235.0,2460,2218.197293
285.0,2484,2227.037872
400.0,3230,2246.38606
300.0,2758,2258.124671
230.0,2114,2273.250752
295.0,2560,2282.724253
545.0,4007,2307.59523
525.0,3196,2329.417641
365.0,2806,2339.519933
275.0,2416,2358.612996
235.0,2522,2369.519307
545.0,3845,2391.624067
305.0,2462,2408.362594
555.0,4287,2424.883081
420.0,3188,2444.558595
680.0,4718,2469.989846
615.0,3696,2493.994082
120.0,1492,2499.493841
175.0,2144,2507.161114
345.0,2570,2524.656131
570.0,3778,2546.608281
110.0,1576,2552.27218
340.0,2678,2561.721912
450.0,3538,2583.22659
435.0,3504,2604.012715
350.0,3084,2615.435015
730.0,4324,2638.202398
190.0,1844,2653.506902
545.0,3716,2666.926662
575.0,4678,2690.689478
270.0,2090,2707.122465
355.0,3012,2718.983063
200.0,2212,2734.674039
315.0,2642,2743.901058
570.0,3750,2768.629208
580.0,4008,2790.980326
