#{"t_start": 1642060554.5423844, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
105.0,2150,19.027305
65.0,1928,25.656532
170.0,2058,37.763599
75.0,1914,45.331704
125.0,1618,51.065204
185.0,2090,66.662143
45.0,1508,73.353545
230.0,3500,93.782337
90.0,1826,100.587213
50.0,1330,105.045128
470.0,2818,125.875971
180.0,2494,135.535631
265.0,3032,155.564682
210.0,2508,173.200642
210.0,2514,183.165012
210.0,2562,200.657445
150.0,2360,210.238466
210.0,2528,219.694319
155.0,2378,236.421285
110.0,2088,243.98194
210.0,2544,262.543432
210.0,2602,272.026923
155.0,2416,285.927311
105.0,2292,296.331822
210.0,2496,313.372676
380.0,2466,321.735433
210.0,2484,339.590872
260.0,2948,351.743612
210.0,2512,368.055995
110.0,1972,375.162871
135.0,2378,391.481018
180.0,2452,401.368456
260.0,2920,419.378955
210.0,2520,428.850724
410.0,2498,445.351801
185.0,2722,455.046223
285.0,2888,472.773486
270.0,2932,483.871556
210.0,2488,500.653465
495.0,4244,522.988549
380.0,2560,532.899862
260.0,2896,551.229075
280.0,2996,562.916832
210.0,2684,579.813633
80.0,1258,584.866792
460.0,2972,603.331368
180.0,2388,612.003695
240.0,2868,631.676777
185.0,2360,640.282329
75.0,1168,644.490065
110.0,1938,659.111866
105.0,1238,663.502691
285.0,2954,683.024453
290.0,3028,694.618664
410.0,2580,712.102879
410.0,2580,721.496042
410.0,2378,737.316653
50.0,1210,742.002767
285.0,2906,756.860843
265.0,2880,769.107364
515.0,3292,787.782981
445.0,3028,798.837368
210.0,2608,815.418321
240.0,2870,825.522377
480.0,3046,846.370538
535.0,3344,867.16314
380.0,2638,876.6932
255.0,2462,893.402819
110.0,1240,898.172748
155.0,2428,907.098126
530.0,3622,929.228216
210.0,2580,942.90433
110.0,1628,948.657628
260.0,2236,957.284413
215.0,1734,968.306733
160.0,2110,975.898225
110.0,1590,981.623111
585.0,3776,1004.754136
185.0,2196,1021.488519
235.0,2444,1029.947899
425.0,3412,1050.443108
315.0,2824,1060.281241
230.0,2434,1075.437697
190.0,2108,1082.937719
125.0,2114,1099.306455
435.0,3882,1113.101521
140.0,1978,1128.800315
285.0,2332,1137.491707
55.0,1262,1141.75231
165.0,2026,1155.30341
340.0,3266,1167.063575
150.0,1540,1181.444639
105.0,1524,1187.139064
335.0,2502,1202.975161
260.0,2592,1212.838531
600.0,3314,1233.066565
480.0,3448,1246.032299
180.0,2058,1263.408013
175.0,1996,1270.14789
95.0,1406,1275.219386
225.0,2806,1293.391496
160.0,2076,1300.820112
600.0,3952,1325.395967
405.0,2262,1343.159333
605.0,4422,1369.134321
485.0,3916,1382.775201
290.0,2726,1400.007204
170.0,2748,1409.815215
275.0,2822,1428.363544
270.0,2466,1436.906228
100.0,1820,1450.687083
285.0,2566,1459.75193
230.0,2320,1473.139763
250.0,2850,1482.826626
155.0,1984,1497.59287
150.0,2176,1505.359355
65.0,1460,1510.529876
170.0,1990,1526.281701
190.0,2018,1533.440315
285.0,2690,1550.749731
400.0,3896,1564.233126
120.0,1326,1572.893821
130.0,1626,1578.577264
170.0,2108,1586.293184
435.0,3600,1606.865088
240.0,2276,1627.537342
200.0,1840,1634.458311
270.0,2682,1644.0785
165.0,2136,1657.480029
470.0,3480,1677.405706
110.0,1506,1683.49076
470.0,3582,1703.231171
345.0,2636,1713.290761
340.0,3131,1733.718986
55.0,1454,1738.584312
365.0,3024,1758.228076
160.0,2156,1766.323101
180.0,1832,1773.153982
295.0,2916,1794.323015
335.0,3352,1813.684687
485.0,3668,1827.543217
415.0,3142,1849.945138
150.0,2186,1857.833059
870.0,3800,1880.393441
365.0,2645,1896.385729
210.0,2006,1903.38971
420.0,3661,1923.001435
425.0,3232,1935.34991
625.0,3478,1954.861398
145.0,2076,1973.084063
360.0,2906,1983.897988
455.0,3190,1998.851892
465.0,4132,2020.613912
275.0,2636,2030.053617
175.0,1858,2036.841546
385.0,3516,2060.464416
150.0,2110,2076.605297
350.0,3040,2086.868615
420.0,4114,2110.331507
400.0,2564,2119.676565
385.0,3190,2139.446747
400.0,2697,2159.486874
530.0,3516,2171.577821
330.0,2522,2191.302789
400.0,2758,2201.708773
160.0,1868,2217.227153
225.0,2218,2225.025024
110.0,1188,2229.936465
150.0,1672,2242.970778
405.0,2860,2254.797915
350.0,2984,2273.495117
180.0,1532,2279.152215
660.0,3548,2301.092131
405.0,3272,2314.224249
280.0,2180,2332.241632
215.0,2014,2339.697897
155.0,1536,2355.458181
265.0,2308,2365.163452
180.0,1788,2371.978507
170.0,2352,2388.363787
375.0,2621,2397.856544
225.0,2770,2417.370088
435.0,2992,2435.85245
150.0,1820,2442.662942
405.0,3954,2465.597978
445.0,2652,2475.054395
140.0,2116,2493.228145
305.0,2570,2502.737666
290.0,2936,2521.110659
435.0,2818,2531.937223
230.0,2292,2547.647229
85.0,1770,2553.814743
465.0,3466,2572.735532
390.0,3430,2587.634933
940.0,3778,2609.548907
540.0,3534,2630.288046
435.0,3334,2641.00358
520.0,2824,2660.492722
365.0,2712,2677.539128
560.0,2898,2687.635251
540.0,3634,2709.493886
320.0,3200,2730.301644
450.0,4424,2745.818178
385.0,2558,2765.300624
360.0,3156,2785.714638
515.0,4048,2799.380275
470.0,3220,2818.799812
600.0,4366,2843.595314
800.0,4722,2866.971196
295.0,2502,2876.351247
145.0,2016,2890.397773
290.0,2792,2900.586816
465.0,3456,2918.898324
280.0,2246,2926.996643
305.0,2454,2942.153896
220.0,2468,2950.531061
315.0,2690,2965.989097
285.0,2718,2975.738392
350.0,2534,2993.923063
490.0,3314,3005.584289
550.0,4142,3027.935224
470.0,2836,3046.926702
275.0,2424,3056.016281
275.0,2610,3073.583461
425.0,2775,3083.043336
335.0,2774,3098.855424
335.0,2840,3110.122723
245.0,2498,3127.659471
290.0,2588,3136.307725
395.0,3176,3154.794427
500.0,3398,3176.071455
370.0,3114,3187.696142
230.0,1932,3203.470628
