#{"t_start": 1642060555.744498, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
180.0,2244,18.048392
210.0,2070,25.589086
85.0,1698,36.179694
245.0,2522,45.990159
80.0,1482,51.327542
185.0,2596,68.943158
145.0,1868,76.471983
135.0,1562,90.159814
35.0,1778,96.283053
55.0,1222,101.027812
105.0,1888,115.962825
210.0,2434,126.878519
135.0,2328,143.754051
140.0,2362,153.823944
105.0,2286,162.167234
460.0,2918,181.88394
105.0,1938,189.122482
210.0,2486,205.830134
240.0,2932,218.225103
180.0,2448,235.127411
155.0,2468,243.666309
210.0,2524,262.176238
120.0,2336,271.022315
210.0,2578,285.84265
180.0,2384,295.963342
180.0,2582,313.220566
485.0,5686,344.07043
380.0,2608,353.252499
460.0,2886,371.673229
240.0,2904,389.206536
260.0,2934,401.592301
180.0,2500,417.908895
210.0,2466,427.169324
210.0,2554,443.283978
210.0,2438,452.27984
530.0,4006,474.673272
465.0,2934,493.446061
210.0,2526,501.999091
210.0,2590,518.401444
280.0,2920,529.843438
180.0,2442,546.931202
210.0,2610,557.093109
210.0,2548,573.620759
410.0,2568,582.599274
460.0,2908,600.933483
210.0,2626,610.868418
360.0,2368,628.637855
260.0,2976,639.470214
210.0,2604,656.519359
210.0,2550,666.030998
210.0,2918,685.590994
410.0,2458,695.007244
470.0,5170,722.050851
210.0,2450,738.029395
120.0,2062,745.336172
215.0,2794,762.111515
215.0,2586,770.846712
460.0,2964,788.834834
265.0,3102,799.979978
105.0,1942,814.261497
410.0,2722,823.966468
155.0,2564,842.89523
260.0,2920,853.802851
335.0,3242,873.715727
180.0,2440,890.40806
110.0,1928,897.546329
260.0,2926,916.169299
530.0,3310,929.641783
205.0,2068,941.474795
105.0,1514,946.960409
270.0,2816,957.693115
120.0,1252,966.95325
205.0,1718,973.023309
105.0,1954,980.189059
240.0,2524,998.877866
115.0,1936,1005.470592
320.0,2682,1024.045401
395.0,3376,1036.647373
670.0,3040,1054.995572
210.0,2256,1069.088592
225.0,1974,1076.31854
190.0,1948,1083.373608
