#{"t_start": 1641322052.056341, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
160.0,2406,351.268544
170.0,1924,353.16081
40.0,1380,354.399628
30.0,1500,355.701663
210.0,1956,357.427597
60.0,1338,358.68283
155.0,1702,360.043412
120.0,1660,361.640609
40.0,1300,362.712837
355.0,2336,365.009502
50.0,1100,365.923851
65.0,1762,367.418293
235.0,2184,369.314342
330.0,4256,373.246497
60.0,1688,374.683055
105.0,1954,376.57476
135.0,2024,378.453958
105.0,2030,384.877346
75.0,2064,386.523563
355.0,2500,389.046206
120.0,1882,390.541918
140.0,2028,392.76881
110.0,1930,394.575875
365.0,3230,397.289431
105.0,1872,398.897416
225.0,2658,401.130311
35.0,1172,402.154466
340.0,3476,405.158647
225.0,2508,407.463696
55.0,1520,408.89185
80.0,1484,410.140104
125.0,2074,411.991632
360.0,2902,414.457931
35.0,1144,415.47306
65.0,1640,416.932738
105.0,2068,418.84887
90.0,2026,433.239178
230.0,2554,435.41955
260.0,2674,437.778792
105.0,1768,439.457834
85.0,1158,440.446971
260.0,3212,443.510243
170.0,2366,445.615735
95.0,1830,447.164865
35.0,1648,448.578041
260.0,2832,451.534692
195.0,2942,454.145298
120.0,2132,456.077413
80.0,1750,457.582907
55.0,1176,458.543421
50.0,1174,459.569767
30.0,1502,460.928452
140.0,2068,462.781942
375.0,2996,465.41487
55.0,1830,466.924777
100.0,2024,468.567837
160.0,2964,477.630227
155.0,2288,479.493047
130.0,1950,481.42781
120.0,1222,482.428394
175.0,3114,485.083785
150.0,2290,487.11411
100.0,1156,488.140301
120.0,1576,489.480379
135.0,1666,490.90547
485.0,3982,494.635139
245.0,2774,496.892586
45.0,1678,498.289206
120.0,2754,500.500884
230.0,3298,503.231455
120.0,2332,505.595197
105.0,1914,507.240858
100.0,1816,508.965637
250.0,2738,511.463835
80.0,2100,517.337432
165.0,2378,519.514566
110.0,1970,521.158303
135.0,1884,523.163611
110.0,1286,524.303933
120.0,2028,527.045577
80.0,1852,528.539903
65.0,1144,529.488176
55.0,1012,530.374272
120.0,1750,531.808499
155.0,1876,533.460004
105.0,1194,534.440145
60.0,1638,535.752465
210.0,1524,536.99338
185.0,2086,538.695328
80.0,1130,539.626783
175.0,2352,542.505417
395.0,3086,545.218496
210.0,2212,547.115828
155.0,2572,549.486867
215.0,2636,551.682691
110.0,2132,559.963238
210.0,2570,562.058786
350.0,4143,565.45954
240.0,2952,567.994913
235.0,3268,570.847445
140.0,1996,572.523213
180.0,2378,574.434875
75.0,1666,575.800451
335.0,3556,578.784787
110.0,1946,580.389296
150.0,2168,582.149117
290.0,3704,585.356683
75.0,1174,586.306248
215.0,2418,588.279231
95.0,1810,589.792932
120.0,2120,591.546815
55.0,1222,592.559015
100.0,1216,600.679178
35.0,1142,601.977916
105.0,1930,603.489672
115.0,1890,605.002144
415.0,2774,607.183431
155.0,2384,609.052979
215.0,2702,611.25946
425.0,2766,613.575635
130.0,2080,615.228525
225.0,2650,617.701825
50.0,1240,618.657936
30.0,1354,619.719965
120.0,1976,621.567455
120.0,2006,623.372983
180.0,2394,625.280651
110.0,1940,626.848846
385.0,2428,628.840671
155.0,2078,630.436146
85.0,1176,631.668483
155.0,2092,633.875567
115.0,2146,642.69038
135.0,2014,644.652655
135.0,2404,646.524452
30.0,1036,647.380986
260.0,3186,649.930143
120.0,2384,651.849592
180.0,2430,653.875289
75.0,1300,655.041514
185.0,2116,657.057883
320.0,2288,658.992959
115.0,1968,660.625597
130.0,2128,662.48216
70.0,1892,664.072895
20.0,1024,664.956979
160.0,2032,666.634349
215.0,2320,668.990636
160.0,2690,671.215142
150.0,1948,672.864539
210.0,2432,674.976431
50.0,1232,676.100056
110.0,1902,684.626267
230.0,1998,686.209045
230.0,2944,688.568641
180.0,2508,690.565484
260.0,2598,692.754579
155.0,2386,694.728225
60.0,1228,695.745487
235.0,2648,697.892338
345.0,3604,700.762409
30.0,1056,701.623323
345.0,3180,704.137448
30.0,1090,705.060007
120.0,1926,706.626912
20.0,1146,707.53415
160.0,2426,709.489199
280.0,3482,712.358233
290.0,3530,715.158849
30.0,1800,716.749831
65.0,1060,723.735129
40.0,1342,724.761224
240.0,2434,726.675165
135.0,1930,728.222098
120.0,2028,729.857025
105.0,1302,730.89857
120.0,1988,732.62338
215.0,2286,734.553216
65.0,1198,735.476654
40.0,1734,736.886797
85.0,1960,738.924982
185.0,2020,740.539865
150.0,2428,742.582544
135.0,1936,744.1819
430.0,2556,746.30509
60.0,1030,747.125252
210.0,2266,748.905119
60.0,1386,750.00497
70.0,1208,750.982605
105.0,1452,752.119587
250.0,2720,754.321705
405.0,2594,757.027235
110.0,1484,764.322425
105.0,1118,765.270559
105.0,1116,766.267538
75.0,1210,767.343031
120.0,1364,768.861115
285.0,3634,772.526926
50.0,1818,774.090748
135.0,1796,775.959457
280.0,3458,778.672591
175.0,1880,780.15261
195.0,2082,781.980686
135.0,1862,783.48047
70.0,1940,785.017895
155.0,2076,786.753069
105.0,1942,788.376816
180.0,2554,790.495119
410.0,2482,792.504781
35.0,1238,793.538635
215.0,2432,795.592279
110.0,1904,797.189164
370.0,3934,805.175151
80.0,1140,806.159004
155.0,2446,808.179138
260.0,3721,811.665635
375.0,2364,814.471621
170.0,2442,816.498271
140.0,1710,817.884838
380.0,2548,820.742186
330.0,3890,823.992696
35.0,1168,824.924451
210.0,2816,827.16805
65.0,1176,828.104966
50.0,1878,829.558946
155.0,1984,831.149641
80.0,1246,832.137553
125.0,1926,833.665642
385.0,2376,835.926098
140.0,2344,837.806483
170.0,2054,839.526848
60.0,1044,846.182248
260.0,2550,848.460229
170.0,2070,850.214334
235.0,2786,852.533156
105.0,1492,853.714001
230.0,2768,856.124944
40.0,1276,857.264076
755.0,4418,860.83942
110.0,1888,862.36514
280.0,2900,864.919212
65.0,1336,866.006704
80.0,1950,867.555307
135.0,1862,869.122566
185.0,2040,870.754333
430.0,2770,873.410671
210.0,2600,875.512809
205.0,2082,877.214759
20.0,1034,878.480913
160.0,1638,880.130296
115.0,1226,885.546301
100.0,1706,887.454901
225.0,2526,889.862961
10.0,1336,891.008593
330.0,2806,893.5753
215.0,2134,895.350476
105.0,1116,896.255558
80.0,1164,897.173915
30.0,1780,898.587211
225.0,2860,901.528858
145.0,1966,903.137494
405.0,2986,905.555955
105.0,1368,906.851908
5.0,944,907.857117
240.0,2012,909.447939
300.0,3706,912.587015
10.0,1216,913.573815
140.0,1948,915.357131
250.0,2196,917.213939
115.0,2032,918.853208
110.0,1978,920.444816
120.0,1520,926.014315
45.0,1598,927.326919
275.0,2780,929.679742
130.0,1718,931.142697
90.0,1860,932.753278
55.0,1024,933.587909
25.0,992,934.72555
10.0,1072,935.637232
170.0,2720,937.797376
125.0,1506,938.970663
250.0,2236,940.917786
75.0,1364,942.206096
145.0,2084,943.993757
220.0,2750,946.614541
115.0,2166,948.502325
145.0,1790,949.937709
195.0,1522,951.149358
165.0,3262,953.801401
230.0,4128,957.314735
75.0,1230,958.518226
60.0,1792,959.990009
180.0,2176,967.988079
35.0,1074,969.028046
155.0,1604,970.349495
225.0,2778,972.987626
80.0,1294,974.02253
125.0,1726,975.443012
55.0,1596,976.760526
215.0,2432,978.845586
30.0,1280,979.853836
150.0,1684,981.25435
